manager,round,worker,m_eva,ai_eva,p1,p2,p3
worker60a45d758006be79e8b07ed9,1,615d5b821a79847e2b342374,3,2,0.43983333333333335,0.48301515151515145,0.07715151515151515
worker60a45d758006be79e8b07ed9,2,615d5b821a79847e2b342374,3,1,0.5545,0.33666666666666667,0.10883333333333335
worker60a45d758006be79e8b07ed9,3,615d5b821a79847e2b342374,3,2,0.3893469387755102,0.4176258503401361,0.19302721088435373
worker60a45d758006be79e8b07ed9,3,610145e14266fee313b9d264,3,2,0.34531684981684974,0.5498411588411588,0.10484199134199132
worker60d681b7cb1baaaab8d901a6,1,616ea13883866ca0c836c13c,1,1,0.4822692307692308,0.4213974358974359,0.09633333333333331
worker60d681b7cb1baaaab8d901a6,1,5f44a14dc9c379248aa705a9,2,1,0.5172326479328295,0.35384885676936484,0.12891849529780564
worker60d681b7cb1baaaab8d901a6,1,5d1cc0603690a90017b7fde9,2,1,0.506364468864469,0.43458791208791214,0.05904761904761905
worker60d681b7cb1baaaab8d901a6,2,5f44a14dc9c379248aa705a9,2,1,0.7184564461682109,0.23550493838561068,0.04603861544617847
worker60d681b7cb1baaaab8d901a6,2,616ea13883866ca0c836c13c,2,1,0.841762884678279,0.14060326178030425,0.017633853541416566
worker60d681b7cb1baaaab8d901a6,3,5f44a14dc9c379248aa705a9,2,1,0.4629253550543026,0.40011225791752103,0.13696238702817648
worker606f0eee100e0a9f59cc0735,1,612058b64e8bd208d39fbe68,2,2,0.39305139451192084,0.4596549546944284,0.14729365079365078
worker606f0eee100e0a9f59cc0735,1,601410b50be393350ee795c4,3,2,0.425421052631579,0.4436774322169058,0.13090151515151516
worker606f0eee100e0a9f59cc0735,2,612058b64e8bd208d39fbe68,2,1,0.5418352844781636,0.3518492470267459,0.10631546849509034
worker606f0eee100e0a9f59cc0735,3,612058b64e8bd208d39fbe68,3,1,0.4438971916971918,0.3364464943786372,0.2196563139241711
worker606f0eee100e0a9f59cc0735,2,601410b50be393350ee795c4,1,1,0.7356597248178437,0.24734927878359683,0.016990996398559423
worker608adf0cc8637f7f395352b1,1,60b7b8126c0c4524e913236e,3,2,0.31491208791208786,0.6039450549450549,0.08114285714285714
worker608adf0cc8637f7f395352b1,1,604a724676cc5a0de7e93fd1,3,1,0.4574285714285714,0.4168333333333334,0.12573809523809523
worker608adf0cc8637f7f395352b1,1,5faacca24cd0384c1fa08be1,2,2,0.41698351648351645,0.42989743589743595,0.15311904761904763
worker608adf0cc8637f7f395352b1,2,604a724676cc5a0de7e93fd1,3,1,0.6731394035616947,0.25048864765879364,0.0763719487795118
worker608adf0cc8637f7f395352b1,2,60b7b8126c0c4524e913236e,3,2,0.42863389110029976,0.4842195169295789,0.0871465919701214
worker608adf0cc8637f7f395352b1,3,60b7b8126c0c4524e913236e,3,1,0.5460356604180134,0.34481553775356294,0.1091488018284237
worker5ed2fdcb5353e829674f861e,1,5d575f44182f9f00a380,2,2,0.3816666666666667,0.4608484848484848,0.15748484848484845
worker5ed2fdcb5353e829674f861e,1,616d98eb781483f580b76f4a,2,2,0.20370970695970694,0.6744053724053722,0.12188492063492064
worker5ed2fdcb5353e829674f861e,2,5d575f44182f9f00a380,3,1,0.4932630718954249,0.3719929971988796,0.1347439309056956
worker5ed2fdcb5353e829674f861e,2,616d98eb781483f580b76f4a,2,2,0.4020529021829937,0.4992404035450946,0.09870669427191167
worker5ed2fdcb5353e829674f861e,3,616d98eb781483f580b76f4a,3,1,0.5878531746031745,0.31364285714285706,0.09850396825396826
worker5ed2fdcb5353e829674f861e,3,5d575f44182f9f00a380,2,2,0.3923168498168498,0.45082600732600736,0.15685714285714286
worker5fc0651e0985e84f652efe5e,1,5edaa4924ea9bd6f14f3d618,2,2,0.4000311355311355,0.4773260073260073,0.12264285714285712
worker5fc0651e0985e84f652efe5e,2,5edaa4924ea9bd6f14f3d618,3,1,0.5426329035257826,0.36493258036007925,0.09243451611413796
worker5fc0651e0985e84f652efe5e,3,5edaa4924ea9bd6f14f3d618,1,1,0.4113048654244307,0.367103519668737,0.22159161490683232
worker5fc0651e0985e84f652efe5e,1,5c6acdb4755ed2000170bb34,1,1,0.521564586754242,0.3393740608050954,0.13906135244066278
worker5fc0651e0985e84f652efe5e,2,5c6acdb4755ed2000170bb34,1,1,0.5870833333333334,0.3427500000000001,0.07016666666666665
worker5fc0651e0985e84f652efe5e,3,5c6acdb4755ed2000170bb34,1,2,0.38846955751447587,0.3981991845117981,0.21333125797372623
workerkalbaser222,1,5fc0651e0985e84f652efe5e,1,2,0.41573113553113566,0.5042688644688643,0.07999999999999999
worker5f359a0aa0b9125a3c6b8fff,1,5f8893a5e2f88a04b1833278,1,2,0.3960912698412698,0.5086111111111111,0.09529761904761905
worker5f359a0aa0b9125a3c6b8fff,1,60e03b0a759b4850df25f739,2,2,0.2787930402930402,0.5852545787545788,0.13595238095238094
worker5f359a0aa0b9125a3c6b8fff,1,606d1baf2294880951ea754b,2,1,0.4476507936507936,0.427611111111111,0.12473809523809526
worker5f359a0aa0b9125a3c6b8fff,2,606d1baf2294880951ea754b,3,2,0.44442857142857145,0.45799999999999996,0.09757142857142856
worker5f359a0aa0b9125a3c6b8fff,2,60e03b0a759b4850df25f739,3,2,0.28660714285714284,0.6477857142857143,0.06560714285714286
worker5f359a0aa0b9125a3c6b8fff,2,5f8893a5e2f88a04b1833278,3,2,0.3618057991312467,0.5146544066902123,0.12353979417854098
worker5f359a0aa0b9125a3c6b8fff,3,606d1baf2294880951ea754b,3,2,0.4050868324657799,0.4256193222817283,0.16929384525249186
